Components Break Down,Discoubtable(Weight -KG),Un-Discountable(Weight -KG),Total(Weight-KG),Weight (KG) %,Discoubtable(Estimated Price),Un-Discountable(Estimated Price),Total(Ex-works Price),"% (Ex-works Price),"
Built Up,0,0,0,0,0,0,0,"0,"
Built Up Offline,0,0,0,0,0,0,0,"0,"
Hot Rolled,0,2701760.811,2701760811,770158096,0,499357518,474474,"5447678,"
Welded Assembly (Trusses.Laced Columns etc.),0,448380,448380,127814234,0,879801006,82031,"0941846,"
Misc. Steel (Ladder.Stair.Handrail),0,154500,154500,454544,0,4886667,480446,"0551618,"
Chequered Plate Flooring,0,0,0,0,0,0,0,"0,"
Grating Flooring,0,59875,59875,17067838,0,646382303,64751877769,"0743448,"
Sundry Parts,0,0,0,0,0,0,0,"0,"
Rods and Cables,0,0,0,0,0,0,0,"0,"
Shot Blasting,0,0,0,0,0,840035495,840244981,"0096472,"
Paint,0,0,0,0,0,807572451,808528318,"0928304,"
Hot Dip Galvanized,0,0,0,0,0,763170391,763585885,"087671,"
Cold Formed,0,0,0,0,0,0,0,"0,"
Sheeting Panels,0,0,0,0,0,5925607493,59207493,"0006803,"
Decking,0,0,0,0,0,0,0,"0,"
Tempcon Panels,0,0,0,0,0,0,0,"0,"
Gutters.Downspouts.Trims.Flashings,0,0,0,0,0,2437194667,243194667,"6565454,"
Standard Buyouts,0,0,0,0,0,0,0,"0,"
Special Buyouts,0,143543,1435432801,40918137,0,354259759,35433062,"040684,"
Special Works (Testing.Engg.Powder Coating),0,0,0,0,0,0,0,"0,"
