Components Break Down,Discoubtable(Weight -KG),Un-Discountable(Weight -KG),Total(Weight-KG),Weight (KG) %,Discoubtable(Estimated Price),Un-Discountable(Estimated Price),Total(Ex-works Price),"% (Ex-works Price),"
Sundry Parts,45106,,45106,5.9,853207,,853207,"8.9,"
Tempcon Panels,,,,,,,,","
Decking,,10348,10348,1.3,,77780,77780,"0.8,"
Special Buyouts,,25956,25956,3.4,,211974,211974,"2.2,"
Chequered Plate Flooring,0,0,0,0,0,0,0,"0,"
Grating Flooring,0,59875,59875,0.017067838,0,646382.0303,647518.69,"0.0743448,"
Sundry Parts,0,0,0,0,0,0,0,"0,"
Rods & Cables,0,0,0,0,0,0,0,"0,"
Shot Blasting,0,0,0,0,0,84003.75495,84024.24981,"0.0096472,"
Paint,0,0,0,0,0,807572.7451,808521.8318,"0.0928304,"
Hot Dip Galvanized,0,0,0,0,0,763170.0391,763585.0885,"0.087671,"
Sheeting Panels,0,0,0,0,0,5925.607493,5925.607493,"0.0006803,"
Decking,0,0,0,0,0,0,0,"0,"
Tempcon Panels,0,0,0,0,0,0,0,"0,"
Gutters; Downspouts; Trims; Flashings,0,0,0,0,0,243.7194667,243.7194667,"2.798E-05,"
Standard Buyouts,0,0,0,0,0,0,0,"0,"
Special Buyouts,0,143543.2801,143543.2801,0.040918137,0,354259.1759,354344.3062,"0.040684,"
Special Works (Testing; Engg.; Powder Coating),0,0,0,0,0,0,0,"0,"
